year	Mongolia	Heilongjiang	Jilin	Beijing	Hebei	Shandong	Henan	Jiangsu	Anhui	Shanghai	Hubei	Zhejiang	Tibet	Jiangxi	Hunan	Guizhou	Fujian	Yunnan	Taiwan	Guangdong	Guangxi	HongKong	Outside
2003	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.5383772334087595	0.27643459094367495	-0.0	-0.0	-0.0	-0.0	0.13230177606731597	0.23004847928068484	-0.0	0.524807463702131
2004	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.4919025715622727	0.27643459094367495	-0.0	0.21732201127364886	0.0	-0.0	0.12457128465258521	-0.0	0.27643459094367495	0.5984412793566657
2005	0.24421905028821556	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.6220025955687617	-0.0	-0.0	-0.0	-0.0	0.3010299956639812	-0.0	0.17811125397113373	0.21732201127364886	0.4562981319516124
2006	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.3010299956639812	0.0	-0.0	0.0	0.0	0.0	0.6535212480354062	0.3010299956639812	-0.0	0.15149585433537502	-0.0	0.3010299956639812	0.12457128465258521	0.16362920197946884	0.4480907630687955	0.759919359552933
2007	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.27643459094367495	0.0	0.7194310133149713	0.45154499349597177	0.27643459094367495	0.21732201127364886	0.0	0.0	0.3010299956639812	0.3010299956639812	0.499030285771763	0.4358336318101455
2008	0.0	0.0	0.0	0.0	0.21732201127364886	0.16362920197946884	0.0	0.3010299956639812	0.0	-0.0	-0.0	0.37677792283166867	-0.0	0.55583362792012	0.3010299956639812	0.0	-0.0	0.0	-0.0	-0.0	0.45154499349597177	0.499030285771763	0.6154411015885827
2009	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.5785580060704263	0.0	0.43613696454026046	-0.0	0.3941375703622503	0.1956762467702946	-0.0	0.4771212547196624	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.593555068263763	0.7617543139034395
2010	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.27643459094367495	0.0	0.4392472911358186	-0.0	0.6333399911697071	0.0	-0.0	0.5785580060704263	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.5209776441932363	0.37677792283166867
2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3010299956639812	0.0	0.4190780727033583	0.0	0.45154499349597177	0.0	-0.0	0.64703311117894	-0.0	0.0	0.0	0.0	0.4771212547196624	-0.0	0.17811125397113373	0.4771212547196624
2012	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.16362920197946884	0.0	0.1956762467702946	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.3010299956639812
2013	0.0	0.0	0.0	0.0	0.0	0.27643459094367495	0.0	-0.0	-0.0	-0.0	0.0	0.2652949955741215	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.3010299956639812
